8765 Tara Perkins 593.50 4204.45 5609.90 2234.75
5135 Lisa Conrad 1245.86 3210.45 4398.40 1072.35
1654 Roy Hickle 3119.80 2554.75 1279.65 2246.50
3816 Frank Adams 4167.54 2176.50 1168.50 2390.76
4123 Ann Zimmerman 4567.78 1139.16 8005.87 2368.96
2218 Dennis Tian 4316.33 6070.90 7645.45 6390.76
3819 Holly Winkler 1890.45 2459.65 3342.50 4287.38
1178 Tom Clark 2400.00 1356.43 3318.78 2817.90
4312 Kyle Barnum 6543.86 4500.00 4378.65 2451.39
6543 Charles Atwood 7768.54 6549.00 4532.90 5643.42
7865 Rider Lykes 2134.80 3345.65 2167.75 4321.00
5176 Terence Reed 3330.78 2391.72 2240.00 1987.67
8213 Jane Gilchrist 2378.00 1876.65 2287.90 3000.00
2876 Nancy Doucet 1200.00 1345.80 2387.65 2190.87
6610 Asa Monceaux 3867.56 4378.60 4432.70 5098.50 
